BOY1,8,18057,5,3,48083,1
BOY2,3,18430,8,1,49474,1
BOY3,10,19882,10,5,37902,2
BOY4,7,15213,5,3,27779,2
BOY5,7,18114,7,0,34973,2
BOY6,6,15132,7,0,47405,2
BOY7,6,15065,9,5,26545,1
BOY8,3,17691,4,5,20117,1
BOY9,2,16380,8,0,27274,2
BOY10,4,16341,10,2,49122,3
BOY11,5,19032,6,2,47828,1
BOY12,5,19596,6,3,23475,3
BOY13,2,18613,7,0,24258,1
BOY14,4,16226,9,4,22257,2
BOY15,5,17643,7,3,27483,1
BOY16,4,19375,10,7,19042,3
BOY17,10,15312,5,1,35608,2
BOY18,2,15413,3,6,27320,1
BOY19,8,17265,10,8,21222,3
BOY20,2,16058,6,3,22749,3
BOY1,6,15397,7,6,31072,2
BOY2,7,18168,8,8,49220,3
BOY3,3,15498,10,7,28764,3
BOY4,8,19941,2,4,49317,1
BOY5,8,19027,4,3,28085,2
BOY6,6,19365,8,8,28671,3
BOY7,8,18451,4,1,48713,2
BOY8,3,15661,3,0,30412,3
BOY9,9,19839,7,1,28049,2
BOY10,3,19336,5,7,19293,3
BOY11,8,18463,4,2,32017,1
BOY12,10,18847,4,7,41643,2
BOY13,8,16753,3,3,24943,2
BOY14,10,19918,7,3,19534,2
BOY15,5,15187,8,6,49576,3
BOY16,10,18016,5,1,18371,1
BOY17,4,18161,8,0,17905,1
BOY18,9,17495,4,8,31925,2
BOY19,5,17534,5,0,25200,3
BOY20,3,18032,7,8,16988,3
BOY1,8,16886,4,7,16336,3
BOY2,3,17806,4,4,21725,3
BOY3,4,19607,2,1,35056,2
BOY4,3,17342,3,2,24053,1
BOY5,7,19319,6,8,31124,2
BOY6,10,18251,10,0,45968,2
BOY7,2,18354,9,5,38624,2
BOY8,10,18556,10,4,30672,3
BOY9,7,15334,6,7,44675,3
BOY10,7,18215,4,4,34897,3
BOY11,3,16261,2,4,42332,1
BOY12,3,17074,9,3,20583,3
BOY13,3,18535,8,3,46642,2
BOY14,9,18832,5,6,37654,1
BOY15,3,17707,5,7,34353,2
BOY16,10,16144,4,5,19140,1
BOY17,6,18686,8,7,43283,2
BOY18,7,16047,5,7,33935,1
BOY19,9,18620,7,8,20629,2
BOY20,5,16225,5,1,32883,2
BOY1,4,18852,8,8,46047,2
BOY2,7,18154,2,7,48571,2
BOY3,2,19367,8,4,40397,2
BOY4,8,17956,7,1,29943,1
BOY5,5,19007,8,8,20320,3
BOY6,9,15956,5,0,19159,2
BOY7,2,16278,2,4,21500,3
BOY8,7,16554,4,8,43902,3
BOY9,4,17472,6,3,37276,3
BOY10,3,19186,9,0,31906,3
BOY11,10,16937,6,0,17256,2
BOY12,3,18437,3,5,42377,2
BOY13,2,19842,8,6,34253,3
BOY14,5,18279,9,7,20266,1
BOY15,5,15184,4,1,26025,2
BOY16,5,19235,10,5,35730,3
BOY17,7,15396,2,5,45163,2
BOY18,5,19626,10,2,23183,2
BOY19,5,19770,8,6,19275,1
BOY20,8,17842,10,3,32282,3
BOY1,8,16957,9,0,40333,1
BOY2,6,18329,10,5,32581,3
BOY3,10,19696,6,2,27182,1
BOY4,2,17114,5,4,33339,2
BOY5,8,15223,2,7,15093,1
BOY6,6,17786,9,0,38079,1
BOY7,5,17085,9,1,41847,2
BOY8,3,15004,2,2,42670,3
BOY9,5,18073,2,8,17264,1
BOY10,10,19859,8,3,26872,3
BOY11,7,18183,4,6,44128,3
BOY12,7,18629,6,1,43973,3
BOY13,10,18438,2,6,20463,2
BOY14,4,16733,8,2,31317,3
BOY15,10,19965,6,8,35101,3
BOY16,10,17585,2,4,42343,1
BOY17,8,15682,2,6,31447,3
BOY18,6,15947,3,7,36857,3
BOY19,10,15863,7,3,26754,2
BOY20,10,17664,10,1,22444,2
