GIRL1,7,16961,2,2
GIRL2,6,18480,8,3
GIRL3,3,16077,8,1
GIRL4,8,18332,10,3
GIRL5,5,19318,4,1
GIRL6,6,17227,6,3
GIRL7,9,19125,4,3
GIRL8,9,17579,5,2
GIRL1,7,18753,3,1
GIRL2,6,16545,4,3
GIRL3,4,18245,5,1
GIRL4,5,19702,8,1
GIRL5,9,17537,3,1
GIRL6,4,16197,7,1
GIRL7,2,19519,4,3
GIRL8,2,16974,9,3
GIRL1,9,17354,4,1
GIRL2,4,18488,2,2
GIRL3,6,19602,6,3
GIRL4,8,17347,7,2
GIRL5,9,18852,6,3
GIRL6,7,19532,8,1
GIRL7,2,19330,3,3
GIRL8,3,17860,4,1
GIRL1,2,15008,2,1
GIRL2,2,19107,5,2
GIRL3,5,19135,10,3
GIRL4,9,16694,7,3
GIRL5,7,17158,5,3
GIRL6,7,18952,4,1
GIRL7,9,18674,5,2
GIRL8,6,19764,7,1
GIRL1,7,19177,8,2
GIRL2,2,16720,10,1
GIRL3,7,15025,5,2
GIRL4,4,16920,5,3
GIRL5,2,17223,9,3
GIRL6,5,19189,4,3
GIRL7,7,18118,10,3
GIRL8,4,19959,9,2
GIRL1,7,17200,5,3
GIRL2,8,16286,10,3
GIRL3,2,18290,2,1
GIRL4,10,15631,2,2
GIRL5,8,15844,9,2
GIRL6,10,19371,3,2
GIRL7,9,18232,2,3
GIRL8,10,19342,8,1
GIRL1,10,18665,7,3
GIRL2,2,17251,5,2
GIRL3,6,19467,4,2
GIRL4,2,19263,10,2
GIRL5,5,18480,4,1
GIRL6,4,19963,6,2
GIRL7,6,15792,8,1
GIRL8,7,19438,3,1
GIRL1,5,17032,8,1
GIRL2,3,16437,5,2
GIRL3,5,18408,2,1
GIRL4,7,18046,6,1
GIRL5,6,17820,9,1
GIRL6,4,16320,5,1
GIRL7,5,17497,9,2
GIRL8,5,19557,2,3
GIRL1,8,17121,3,1
GIRL2,8,17889,4,2
GIRL3,2,19223,5,2
GIRL4,9,16987,10,3
GIRL5,8,16649,8,2
GIRL6,2,18605,2,3
GIRL7,6,18079,9,2
GIRL8,3,17470,3,3
GIRL1,5,18758,9,1
GIRL2,2,15254,6,3
GIRL3,2,19745,2,1
GIRL4,3,19185,7,3
GIRL5,4,17147,8,1
GIRL6,4,18537,7,2
GIRL7,10,18394,3,2
GIRL8,8,19939,6,2
GIRL1,3,15138,8,3
GIRL2,8,18262,3,3
GIRL3,9,19540,7,2
GIRL4,2,16694,4,3
GIRL5,7,16654,5,3
GIRL6,2,16651,5,2
GIRL7,8,16747,9,3
GIRL8,3,15764,7,3
GIRL1,8,15941,5,2
GIRL2,8,19948,2,3
GIRL3,2,15733,10,1
GIRL4,7,15945,9,1
GIRL5,3,19254,5,3
GIRL6,3,15758,2,1
GIRL7,6,16205,6,3
GIRL8,7,15042,8,3
GIRL1,10,16535,8,2
GIRL2,7,16060,2,3
GIRL3,10,19474,5,1
GIRL4,10,19409,7,2
GIRL5,5,19692,9,3
GIRL6,8,16840,5,2
GIRL7,2,19136,4,2
GIRL8,6,16952,2,2
GIRL1,3,16688,9,3
GIRL2,9,18506,9,3
GIRL3,2,16401,3,3
GIRL4,5,18875,6,1
GIRL5,2,15519,7,2
GIRL6,10,18820,9,3
GIRL7,10,18410,4,1
GIRL8,10,15856,7,2
GIRL1,6,15856,6,1
GIRL2,6,15810,6,3
GIRL3,4,17230,9,3
GIRL4,3,15118,9,3
GIRL5,5,19323,2,3
GIRL6,3,15202,2,1
GIRL7,2,19250,8,1
GIRL8,8,18352,6,2
GIRL1,4,19242,8,1
GIRL2,3,17294,6,2
GIRL3,3,18660,3,2
GIRL4,10,18998,4,2
GIRL5,10,18017,5,3
GIRL6,9,15889,10,2
GIRL7,3,15486,9,2
GIRL8,7,16530,8,2
GIRL1,3,19804,10,3
GIRL2,8,15577,3,2
GIRL3,3,16072,8,2
GIRL4,4,17805,9,1
GIRL5,5,15813,4,1
GIRL6,8,19107,3,3
GIRL7,7,16368,6,1
GIRL8,9,16470,3,1
GIRL1,8,16018,9,1
GIRL2,8,19628,8,2
GIRL3,8,17721,2,3
GIRL4,5,16893,3,2
GIRL5,7,15542,3,1
GIRL6,7,18446,10,3
GIRL7,6,17091,10,1
GIRL8,8,15597,4,1
GIRL1,5,16504,8,2
GIRL2,6,17432,3,2
GIRL3,6,18309,5,1
GIRL4,10,15203,4,2
GIRL5,8,17985,6,1
GIRL6,2,19304,3,2
GIRL7,5,17230,9,1
GIRL8,6,18410,3,1
