BOY1,6,18629,9,1,18178
BOY2,7,18945,7,6,32074
BOY3,2,16301,5,0,49514
BOY4,2,19575,4,7,30640
BOY5,6,17161,7,0,28575
BOY6,7,18549,3,0,48295
BOY7,8,19669,6,6,45972
BOY8,6,15860,4,3,34229
BOY9,7,16490,3,2,45120
BOY10,7,16315,4,6,36304
BOY11,7,19031,7,5,18398
BOY12,2,17798,6,8,30098
BOY13,10,19550,7,4,42759
BOY14,2,16415,3,2,41523
BOY15,4,17451,4,8,17864
BOY16,5,17579,9,8,26075
BOY17,6,15759,7,2,22168
BOY18,7,16832,2,5,19847
BOY19,9,15962,7,8,49961
BOY20,8,15489,8,4,49932
BOY1,9,19915,8,8,19621
BOY2,9,19171,8,2,21506
BOY3,7,16485,6,1,17102
BOY4,5,17127,3,2,25809
BOY5,2,16474,2,1,24645
BOY6,6,15104,6,5,23761
BOY7,10,15682,3,3,39986
BOY8,5,17053,3,7,33307
BOY9,10,17387,9,5,29580
BOY10,8,16206,4,8,20696
BOY11,7,19519,8,5,41312
BOY12,9,15627,4,7,40060
BOY13,6,15749,4,3,47575
BOY14,2,15896,2,3,21382
BOY15,4,18776,10,8,20256
BOY16,9,17096,5,2,16336
BOY17,3,18569,2,5,20228
BOY18,3,17556,3,3,39927
BOY19,2,19875,3,7,21137
BOY20,2,19241,8,3,23536
